testing_type,testing_cat,prob_inf,prob_inf_cat,sens_type,sens_cat,prop_subclin,prop_subclin_cat,symptom_adherence,risk_multiplier,risk_multi_cat,rapid_test_multiplier,rapid_test_cat,if_threshold,time_step,metric,n,mean,sd,median,p025,p100,p250,p750,p900,p975,min,max,n_missing,n_infinite,n_nan,n_total,metric_cat
pcr_five_days_after,PCR 5 days after,5e-5,"5 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,ratio_false_true,3000,3.238456256058945,1.5708544760139507,3.1312551271534046,0.4399848484848485,1.2112676056338028,2.1240530303030303,4.2771367521367525,5.313508064516128,6.456356560415123,0,9.069767441860465,0,0,0,3000,False/true positive results
pcr_five_days_after,PCR 5 days after,1e-4,"10 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,ratio_false_true,3000,1.6156522453635251,0.7634626211861684,1.588311442283405,0.24211107336956525,0.6314645308924486,1.0656635156156515,2.1145663871855835,2.6395477671000562,3.144386694386695,0,4.371428571428571,0,0,0,3000,False/true positive results
pcr_five_days_after,PCR 5 days after,2e-4,"20 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,ratio_false_true,3000,0.7976605263458083,0.3678600830394199,0.7851058431201972,0.1444605902885994,0.3307362357915377,0.5260124771399918,1.0441194493239103,1.277149877149877,1.5636474264480076,0,2.119148936170213,0,0,0,3000,False/true positive results
pcr_five_days_after,PCR 5 days after,5e-4,"50 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,ratio_false_true,3000,0.31799152568665273,0.14787431478604787,0.30932667525773194,0.05543968956438875,0.12819711538461537,0.21197869679324202,0.41391499284043165,0.5153178712438233,0.6163219060945274,0.001644736842105263,0.8351063829787234,0,0,0,3000,False/true positive results
pcr_five_days_after,PCR 5 days after,0.001,"100 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,ratio_false_true,3000,0.16339805183587,0.07735282669015567,0.1613181552506332,0.026223594537971698,0.0628745268754033,0.10732740705116396,0.2148185057485997,0.2648140151990956,0.32464596536105483,8.019246190858059e-4,0.42911153119092627,0,0,0,3000,False/true positive results
pcr_five_days_after,PCR 5 days after,0.0015,"150 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,ratio_false_true,3000,0.111705240675549,0.05246825459136396,0.11010422951837973,0.01491580147007609,0.04386827810788288,0.073874142266905,0.1462659563406792,0.18074326114838724,0.22081085569884246,0,0.2908745247148289,0,0,0,3000,False/true positive results
pcr_five_days_after,PCR 5 days after,0.0025,"250 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,ratio_false_true,3000,0.07097004158347855,0.03311892740386399,0.07010188890694058,0.011051110525906757,0.02748433693003829,0.047082325018026124,0.09289410853375227,0.11495775456878889,0.13858508017378973,0,0.17792882846861255,0,0,0,3000,False/true positive results
pcr_five_days_after,PCR 5 days after,0.005,"500 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,ratio_false_true,3000,0.03961126165981993,0.018644434180124264,0.038679452609537354,0.005116495144797904,0.01539742996077491,0.026245091961149,0.05243710016544234,0.06456192897955634,0.07721221465622286,0,0.0995580367527332,0,0,0,3000,False/true positive results
pcr_three_days_before,PCR 3 days before,5e-5,"5 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,ratio_false_true,3000,2.5510345831275183,1.2259259472004702,2.490294886151549,0.3615203339617561,0.9779725892085442,1.6733811354228267,3.3687070938215102,4.150732717425932,5.222587719298247,0,6.544117647058823,0,0,0,3000,False/true positive results
pcr_three_days_before,PCR 3 days before,1e-4,"10 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,ratio_false_true,3000,1.2768513101258838,0.6045354004349001,1.2533357053904999,0.19247581565823468,0.502284263959391,0.8361334867663981,1.6857600732600733,2.087914813547725,2.5067831503378377,0,3.2681159420289854,0,0,0,3000,False/true positive results
pcr_three_days_before,PCR 3 days before,2e-4,"20 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,ratio_false_true,3000,0.6318988144881658,0.2891116286819815,0.6238621461081539,0.11180077311365898,0.2572012141957568,0.4254305477131564,0.8248820022357471,1.0178474470790904,1.2298737083811713,0,1.6167247386759582,0,0,0,3000,False/true positive results
pcr_three_days_before,PCR 3 days before,5e-4,"50 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,ratio_false_true,3000,0.2498068981752587,0.1152012611937523,0.244289008999723,0.04130162703379224,0.10063219155304291,0.1668145956607495,0.32804817561459504,0.4060554018936412,0.4927186395084624,0.002600780234070221,0.6216216216216216,0,0,0,3000,False/true positive results
pcr_three_days_before,PCR 3 days before,0.001,"100 per 100,000",upper,Upper Bound,0.3,30%,0.8,2,2x,NA,NA,0,84,ratio_false_true,3000,0.128518399336662,0.06060009086572553,0.12615154823190228,0.020598142288455655,0.0504245846617929,0.08444732981440037,0.16861756664388244,0.2073647112226414,0.2532693665782634,0,0.3429553264604811,0,0,0,3000,False/true positive results
